epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9991,0.62734,2.0535,0.9439,0.96828,1,0.995,0.86792,0.50469,2.24055,0.75189,0.00047326,0.00047326,0.00047326
2,19.3093,0.61032,1.40134,0.94247,0.9808,0.99348,0.995,0.8973,0.41128,1.91053,0.72975,0.000926091,0.000926091,0.000926091
3,27.7332,0.60536,1.1332,0.9357,0.99481,1,0.995,0.87996,0.46831,1.54347,0.74687,0.00135534,0.00135534,0.00135534
4,37.4924,0.59322,0.99452,0.93167,0.99577,1,0.995,0.90419,0.40942,1.12388,0.73725,0.0013229,0.0013229,0.0013229
5,48.4046,0.56099,0.86466,0.9296,0.99315,1,0.995,0.92176,0.34469,0.86863,0.71904,0.00128753,0.00128753,0.00128753
6,56.356,0.52523,0.7595,0.91204,0.99602,1,0.995,0.89608,0.3924,0.56568,0.72362,0.00125216,0.00125216,0.00125216
7,64.4442,0.52513,0.7069,0.92113,0.9959,1,0.995,0.92772,0.35649,0.4043,0.71816,0.00121679,0.00121679,0.00121679
8,72.4855,0.47008,0.61593,0.89443,0.99667,1,0.995,0.92668,0.34707,0.30225,0.71666,0.00118143,0.00118143,0.00118143
9,80.2913,0.47069,0.57475,0.90283,0.9959,1,0.995,0.9368,0.3271,0.35634,0.71201,0.00114606,0.00114606,0.00114606
10,88.3862,0.47065,0.55116,0.9127,0.99348,1,0.995,0.92219,0.34123,0.31023,0.71865,0.00111069,0.00111069,0.00111069
11,96.4558,0.44681,0.49747,0.88785,0.99593,1,0.995,0.93676,0.30934,0.29177,0.71088,0.00107532,0.00107532,0.00107532
12,104.597,0.44589,0.4856,0.88751,0.99499,1,0.995,0.94188,0.29159,0.26,0.70635,0.00103995,0.00103995,0.00103995
13,113.249,0.44047,0.44613,0.88162,0.99503,1,0.995,0.93968,0.29753,0.24036,0.70886,0.00100459,0.00100459,0.00100459
14,121.659,0.43186,0.43474,0.89142,0.99588,1,0.995,0.95731,0.27907,0.23769,0.69835,0.000969219,0.000969219,0.000969219
15,129.523,0.419,0.4186,0.89146,0.99559,1,0.995,0.93907,0.29391,0.2697,0.70097,0.000933851,0.000933851,0.000933851
16,137.611,0.39676,0.39899,0.87687,0.99302,1,0.995,0.9477,0.29431,0.22249,0.70782,0.000898484,0.000898484,0.000898484
17,145.757,0.38259,0.37655,0.86303,0.99677,1,0.995,0.95048,0.27253,0.20064,0.70087,0.000863116,0.000863116,0.000863116
18,153.668,0.3747,0.36405,0.86523,0.99538,1,0.995,0.96724,0.24896,0.21298,0.69601,0.000827748,0.000827748,0.000827748
19,161.852,0.37938,0.36036,0.86741,0.99654,1,0.995,0.96358,0.24508,0.20113,0.6952,0.00079238,0.00079238,0.00079238
20,169.84,0.38184,0.35647,0.87344,0.997,1,0.995,0.96062,0.23932,0.18367,0.69224,0.000757013,0.000757013,0.000757013
21,177.886,0.39164,0.34968,0.88418,0.99556,1,0.995,0.95767,0.25422,0.20951,0.69615,0.000721645,0.000721645,0.000721645
22,186.008,0.36611,0.34269,0.86116,0.99599,1,0.995,0.97177,0.23829,0.17626,0.69525,0.000686277,0.000686277,0.000686277
23,194.002,0.36047,0.32116,0.86349,0.99658,1,0.995,0.96402,0.2408,0.19645,0.69725,0.000650909,0.000650909,0.000650909
24,201.882,0.35977,0.32172,0.87044,0.9964,1,0.995,0.96214,0.23168,0.18916,0.69329,0.000615542,0.000615542,0.000615542
25,210.15,0.3672,0.31322,0.86851,0.99632,1,0.995,0.96713,0.228,0.17953,0.69351,0.000580174,0.000580174,0.000580174
26,217.991,0.35335,0.31228,0.86875,0.99717,1,0.995,0.97342,0.24207,0.19219,0.69771,0.000544806,0.000544806,0.000544806
27,226.183,0.33272,0.29224,0.85824,0.99658,1,0.995,0.96691,0.22123,0.16752,0.69088,0.000509438,0.000509438,0.000509438
28,234.384,0.32237,0.28578,0.8513,0.99697,1,0.995,0.9591,0.24702,0.18263,0.69818,0.000474071,0.000474071,0.000474071
29,242.257,0.31815,0.28797,0.86406,0.99703,1,0.995,0.96765,0.23407,0.1668,0.69518,0.000438703,0.000438703,0.000438703
30,250.291,0.30501,0.27018,0.86032,0.99657,1,0.995,0.97056,0.2212,0.16767,0.69097,0.000403335,0.000403335,0.000403335
31,279.115,0.25824,0.23482,0.79162,0.99656,1,0.995,0.96943,0.21983,0.16953,0.68917,0.000367967,0.000367967,0.000367967
